date,DAY_OF_THE_WEEK,HOSPITAL_CENSUS_M,INDX_UCDH_TEST_PT_CNT,INDX_UCDH_POS_PT_CNT,INDX_UCDH_POSITIVITY_RATE,INDX_POS_PT_NEW_ADM_CNT,INDX_POS_PT_NEW_ADM_PCT,INDX_POS_PT_IN_HOUSE_D6_CNT,INDX_POS_PT_IN_HOUSE_D6_PCT,INDX_POS_PT_IN_HOUSE_D7_CNT,INDX_POS_PT_IN_HOUSE_D7_PCT,INDX_POS_PT_ALL_ADM_CNT,INDX_POS_PT_ALL_ADM_PCT,OUTREACH_TEST_CNT,OUTREACH_POS_TEST_CNT,OUTREACH_POSITIVITY_RATE,COVID_RULE_OUT_PT_CNT_M,COVID_POS_PT_CNT_EVER,COVID_PT_CNT_M,COVID_NEW_ADM_CNT,COVID_NEW_ADM_FLAG,COVID_DISCHARGE_CNT,COVID_DISCHARGE_PCT,DISCH_ICU_VENT_CNT,DISCH_ICU_NO_VENT_CNT,DISCH_MED_SURG_HFNC_CNT,DISCH_MED_SURG_NO_HFNC_CNT,COVID_MALE_CNT_M,COVID_MALE_PCT_M,COVID_AVG_AGE_M,COVID_MED_SURG_CNT_M,COVID_MED_SURG_HFNC_CNT_M,COVID_MED_SURG_HFNC_PCT_M,COVID_MED_SURG_NO_HFNC_CNT_M,COVID_MED_SURG_NO_HFNC_PCT_M,COVID_ICU_CNT_M,COVID_ICU_VENT_CNT_M,COVID_ICU_VENT_PCT_M,COVID_ICU_NO_VENT_CNT_M,COVID_ICU_NO_VENT_PCT_M,COVID_ACTIVE_DNR_CNT_M,COVID_ACTIVE_DNR_PCT_M,TESTED_PT_CNT_MEAN,TESTED_PT_CNT_SLOPE,TESTED_PT_CNT_STD,POSITIVITY_RATE_MEAN,POSITIVITY_RATE_SLOPE,POSITIVITY_RATE_STD,OUTREACH_TEST_CNT_MEAN,OUTREACH_TEST_CNT_SLOPE,OUTREACH_TEST_CNT_STD,OUTREACH_POSITIVITY_MEAN,OUTREACH_POSITIVITY_SLOPE,OUTREACH_POSITIVITY_STD,COVID_PT_CNT_MIDNIGHT_MEAN,COVID_PT_CNT_MIDNIGHT_SLOPE,COVID_PT_CNT_MIDNIGHT_STD,COVID_NEW_ADM_MEAN,COVID_NEW_ADM_SLOPE,COVID_NEW_ADM_STD,COVID_DISCHARGE_MEAN,COVID_DISCHARGE_SLOPE,COVID_DISCHARGE_STD,COVID_DISCHARGE_PCT_MEAN,COVID_DISCHARGE_PCT_SLOPE,COVID_DISCHARGE_PCT_STD
2021-08-23,1,610,524,59,11.26,6,75,1,12.5,1,12.5,8,13.56,12,1,8.33,1,90,84,9,1,6,6.67,1,1,2,2,49,58,49.85,63,10,15.87,53,84.13,21,14,66.67,7,33.33,2,2.38,381.6,-3.5,135.55,10.93,-0.6,1.67,8.2,-1.2,6.1,5,-0.67,4.71,81.4,0.6,1.52,8.6,-0.4,1.67,6.8,0.1,2.17,7.67,0.09,2.29
2021-08-24,2,600,524,47,8.97,7,87.5,1,12.5,0,0,8,17.02,51,12,23.53,0,93,78,9,1,15,16.13,3,1,2,9,45,58,51.56,59,10,16.95,49,83.05,19,11,57.89,8,42.11,2,2.56,406.4,30.5,150.3,10.12,-0.37,1.36,15.4,9.4,20.47,8.37,3.54,9.65,80.8,-0.2,2.17,8.4,0.1,1.52,9,0.9,3.67,9.96,0.89,3.8
2021-08-25,3,582,495,32,6.46,4,66.67,1,16.67,1,16.67,6,18.75,72,8,11.11,1,93,87,15,1,6,6.45,0,3,0,3,49,56,49.55,68,14,20.59,54,79.41,19,11,57.89,8,42.11,2,2.3,406.2,75.1,150.15,9.03,-0.57,1.71,27.8,19.1,31.94,8.59,4.58,9.71,82,1.1,3.54,9.4,1.9,3.36,8.2,0.6,3.83,9.05,0.5,4.02
2021-08-26,4,579,423,62,14.66,8,66.67,4,33.33,0,0,12,19.35,45,4,8.89,1,99,89,12,1,10,10.1,1,2,0,7,53,60,49.36,71,18,25.35,53,74.65,18,10,55.56,8,44.44,2,2.25,435.8,39.1,131.21,10.15,0.57,3.05,36.8,14.2,28.28,10.37,2.06,8.48,83.8,1.9,4.44,10.6,1.4,2.88,8.8,0.6,3.83,9.46,0.41,4
2021-08-27,5,574,526,48,9.13,14,87.5,2,12.5,0,0,16,33.33,34,7,20.59,1,104,87,15,1,17,16.35,1,6,3,7,51,59,48.25,69,22,31.88,47,68.12,18,12,66.67,6,33.33,2,2.3,498.4,-9.7,44.07,10.1,0.14,3.07,42.8,3.8,22.08,14.49,0.99,7.07,85,1.7,4.3,12,1.5,3,10.8,1.7,5.07,11.14,1.33,4.88
2021-08-28,6,562,232,21,9.05,2,100,0,0,0,0,2,9.52,21,12,57.14,1,93,89,6,1,4,4.3,0,1,0,3,53,60,49.09,68,21,30.88,47,69.12,21,12,57.14,9,42.86,3,3.37,440,-55.3,123.52,9.65,0.28,3.02,44.6,-9.8,19.11,24.25,7.67,19.39,86,2.2,4.58,11.4,-0.6,3.91,10.4,-1.1,5.6,10.67,-1.38,5.5
2021-08-29,0,572,241,25,10.37,4,80,1,20,0,0,5,20,35,8,22.86,0,99,93,10,1,6,6.06,1,1,0,4,55,59,49.26,71,18,25.35,53,74.65,22,15,68.18,7,31.82,3,3.23,383.4,-69.9,139.25,9.93,0.22,3,41.4,-9.8,19.11,24.12,7.18,19.4,89,1.2,2.45,11.6,-1.6,3.78,8.6,-0.6,5.18,8.65,-0.66,4.79
2021-08-30,1,576,581,43,7.4,7,100,0,0,0,0,7,16.28,56,7,12.5,0,103,95,10,1,8,7.77,0,0,1,7,53,56,49.78,71,17,23.94,54,76.06,24,14,58.33,10,41.67,3,3.16,400.6,3.1,160.21,10.12,-1.33,2.75,38.2,2.3,13.1,24.4,0.95,19.18,90.6,1.8,3.29,10.6,-0.9,3.29,9,-1.5,5,8.92,-1.5,4.68
2021-08-31,2,585,524,56,10.69,8,88.89,1,11.11,0,0,9,16.07,36,1,2.78,0,108,100,13,1,8,7.41,3,0,3,2,53,53,49.47,80,21,26.25,59,73.75,20,15,75,5,25,3,3,420.8,34.5,169.82,9.33,0.15,1.3,36.4,3.9,12.54,23.17,-8.03,20.56,92.8,3.2,5.12,10.8,0,3.42,8.6,-1.4,4.98,8.38,-1.44,4.66
2021-09-01,3,596,505,40,7.92,4,66.67,2,33.33,0,0,6,15,18,1,5.56,0,107,95,7,1,12,11.21,0,0,2,10,52,55,49.22,74,17,22.97,57,77.03,21,16,76.19,5,23.81,5,5.26,416.6,82.9,166.8,9.09,-0.19,1.45,33.2,-0.5,15.09,20.17,-12.32,22.07,94.4,1.9,3.98,9.2,0.5,2.78,7.6,1.8,2.97,7.35,1.52,2.55
2021-09-02,4,569,391,35,8.95,1,33.33,2,66.67,0,0,3,8.57,12,0,0,1,100,87,5,0,13,13,0,2,2,9,50,57,48.83,69,15,21.74,54,78.26,18,15,83.33,3,16.67,5,5.75,448.4,22.4,134.92,9.07,-0.23,1.45,31.4,-8.4,17.29,8.74,-5.27,9.16,94,-1.2,4.69,9,-1.3,3.08,9.4,1.8,2.97,9.09,1.73,2.9
2021-09-03,5,561,368,34,9.24,2,40,1,20,2,40,5,14.71,5,0,0,1,90,77,3,0,13,14.44,2,3,5,3,44,57,49.19,60,12,20,48,80,17,13,76.47,4,23.53,5,6.49,473.8,-55.9,90.88,8.84,0.19,1.28,25.4,-12.6,20.61,4.17,-2.78,5.2,90.8,-4.9,9.01,7.6,-2.2,3.98,10.8,1.5,2.59,10.77,1.89,3.12
2021-09-04,6,558,213,14,6.57,2,50,1,25,1,25,4,28.57,2,0,0,1,83,77,6,1,6,7.23,0,2,1,3,43,56,50.29,61,12,19.67,49,80.33,16,14,87.5,2,12.5,5,6.49,400.2,-75.9,124.98,8.67,-0.69,1.54,14.6,-8.1,13.48,1.67,-1.11,2.49,87.2,-6.4,10.4,6.8,-1.8,3.77,10.4,-0.3,3.21,10.66,0.29,3.26
2021-09-05,0,561,242,16,6.61,6,85.71,1,14.29,0,0,7,43.75,5,0,0,1,85,79,8,1,6,7.06,1,1,1,3,44,56,51.33,61,7,11.48,54,88.52,18,13,72.22,5,27.78,6,7.59,343.8,-70.4,118.61,7.86,-0.5,1.26,8.4,-3.6,6.5,1.11,-1.11,2.49,83,-4.2,7.87,5.8,0.3,1.92,10,-1.9,3.67,10.59,-1.41,3.35
2021-09-06,1,578,216,16,7.41,7,87.5,1,12.5,0,0,8,50,12,0,0,1,87,79,8,1,8,9.2,1,1,2,4,44,56,52.82,60,6,10,54,90,19,14,73.68,5,26.32,8,10.13,286,-47.6,86.48,7.76,-0.57,1.27,7.2,0,4.55,0,0,0,79.8,-1.4,4.15,6,1.1,2.12,9.2,-1.7,3.56,10.19,-1.5,3.37
2021-09-07,2,569,554,36,6.5,4,80,1,20,0,0,5,13.89,17,0,0,0,85,69,6,1,16,18.82,1,5,3,7,41,59,52.43,50,7,14,43,86,19,15,78.95,4,21.05,8,11.59,318.6,37.5,146.12,7.27,-0.46,1.16,8.2,3.4,6.14,0,0,0,76.2,-1.4,4.15,6.2,0.8,2.05,9.8,0.8,4.49,11.35,1.07,5.13
2021-09-08,3,576,521,43,8.25,2,40,2,40,1,20,5,11.63,22,0,0,3,73,65,4,0,8,10.96,3,0,1,4,39,60,52.43,48,8,16.67,40,83.33,17,12,70.59,5,29.41,8,12.31,349.2,92.8,172.66,7.07,0.33,0.76,11.6,5.2,8.26,0,0,0,73.8,-3.4,6.42,6.4,-0.6,1.67,8.8,1.4,4.15,10.65,1.92,4.84
2021-09-09,4,605,377,39,10.34,4,80,0,0,1,20,5,12.82,8,0,0,1,70,62,5,0,8,11.43,1,0,1,6,38,61,54.37,47,8,17.02,39,82.98,15,12,80,3,20,9,14.52,382,57.5,154.99,7.82,0.83,1.57,12.8,1.6,6.83,0,0,0,70.8,-4.8,7.89,6.2,-1,1.79,9.2,0.4,3.9,11.49,1.05,4.44
2021-09-10,5,578,408,28,6.86,6,100,0,0,0,0,6,21.43,4,0,0,1,71,64,9,1,7,9.86,1,1,2,3,39,61,54.73,49,8,16.33,41,83.67,15,14,93.33,1,6.67,9,14.06,415.2,20.7,133.84,7.87,0.27,1.53,12.6,-2.5,7.13,0,0,0,67.8,-3.7,6.76,6.4,0.1,2.07,9.4,-1,3.72,12.05,-0.61,3.88
2021-09-11,6,577,205,18,8.78,8,100,0,0,0,0,8,44.44,2,0,0,0,72,65,8,1,7,9.72,1,1,0,5,38,58,52.14,50,6,12,44,88,15,14,93.33,1,6.67,7,10.77,413,-81.1,137.96,8.15,0.32,1.55,10.6,-4.8,8.59,0,0,0,65,-0.9,2.55,6.4,0.9,2.07,9.2,-1.9,3.83,12.16,-1.93,3.79
2021-09-12,0,569,199,6,3.02,2,100,0,0,0,0,2,33.33,7,0,0,1,69,62,4,0,7,10.14,0,0,1,6,36,58,52.1,45,6,13.33,39,86.67,17,15,88.24,2,11.76,6,9.68,342,-81.6,138.6,7.45,-1.2,2.77,8.6,-3.6,7.86,0,0,0,63.6,-0.3,1.52,6,0.3,2.35,7.4,-0.3,0.55,10.42,-0.34,0.74
2021-09-13,1,572,497,23,4.63,4,80,1,20,0,0,5,21.74,8,1,12.5,5,70,60,8,1,10,14.29,0,2,0,8,35,58,52.28,42,7,16.67,35,83.33,18,17,94.44,1,5.56,6,10,337.2,3.1,131.06,6.73,-1.53,2.98,5.8,0.3,2.68,2.5,2.5,5.59,62.6,-0.6,1.95,6.8,0.1,2.17,7.8,0.4,1.3,11.09,0.6,1.91
2021-09-14,2,564,464,20,4.31,1,25,3,75,0,0,4,20,19,1,5.26,3,65,58,5,0,7,10.77,2,1,1,3,32,55,51.16,41,5,12.2,36,87.8,17,16,94.12,1,5.88,6,10.34,354.6,40.4,142.91,5.52,-0.93,2.29,8,3.6,6.6,3.55,2.3,5.5,61.8,-1.7,2.86,6.8,-0.8,2.17,7.6,0.3,1.34,10.96,0.64,1.91
2021-09-15,3,587,392,23,5.87,1,25,3,75,0,0,4,17.39,13,0,0,2,62,60,4,0,2,3.23,0,1,0,1,34,57,50.85,39,5,12.82,34,87.18,21,14,66.67,7,33.33,6,10,351.4,63.9,141.59,5.32,-0.45,2.18,9.8,3.4,6.46,3.55,0.53,5.5,61,-1.4,2.65,5.8,-0.7,2.05,6.6,-1,2.88,9.63,-1.24,4.01
2021-09-16,4,563,331,18,5.44,5,71.43,2,28.57,0,0,7,38.89,15,0,0,2,66,59,6,1,7,10.61,0,1,1,5,35,59,49.63,37,6,16.22,31,83.78,22,13,59.09,9,40.91,7,11.86,376.6,15.9,118.31,4.65,0.61,1.11,12.4,2.1,4.98,3.55,-1.25,5.5,59.8,-0.6,1.48,5.4,0,1.67,6.6,-0.8,2.88,9.81,-1.01,4.03
2021-09-17,5,554,401,22,5.49,6,85.71,1,14.29,0,0,7,31.82,11,1,9.09,4,68,60,9,1,8,11.76,2,1,0,5,42,70,50.23,38,4,10.53,34,89.47,22,13,59.09,9,40.91,7,11.67,417,-32.5,64.97,5.15,0.29,0.65,13.2,0.2,4.15,5.37,-1.21,5.53,59.4,0.1,0.89,6.4,0.3,2.07,6.8,-0.4,2.95,10.13,-0.52,4.13
2021-09-18,6,570,192,8,4.17,4,80,1,20,0,0,5,62.5,6,0,0,2,65,60,5,0,5,7.69,1,1,1,2,42,70,52.15,40,4,10,36,90,20,11,55,9,45,8,13.33,356,-53.5,103.09,5.06,-0.07,0.77,12.8,-2.8,4.82,2.87,-0.14,4.16,59.4,0.4,0.89,5.8,0.5,1.92,5.8,0.2,2.39,8.81,0.24,3.47
2021-09-19,0,551,198,13,6.57,2,66.67,1,33.33,0,0,3,23.08,6,0,0,5,63,58,3,0,5,7.94,1,0,2,2,38,66,53.07,41,4,9.76,37,90.24,17,9,52.94,8,47.06,9,15.52,302.8,-52.7,102.05,5.51,0.01,0.87,10.2,-2.3,4.09,1.82,0,4.07,59.4,-0.3,0.89,5.4,-0.3,2.3,5.4,0.4,2.3,8.25,0.65,3.3
2021-09-20,1,580,485,19,3.92,2,100,0,0,0,0,2,10.53,9,0,0,2,61,57,3,0,4,6.56,0,2,0,2,36,63,52.4,41,6,14.63,35,85.37,16,9,56.25,7,43.75,8,14.04,321.4,10.5,127.64,5.12,-0.2,1.08,9.4,-1.7,3.78,1.82,-0.91,4.07,58.8,-0.6,1.3,5.2,-1.2,2.49,5.8,-0.9,1.64,8.91,-1.19,2.18
2021-09-21,2,586,440,22,5,3,100,0,0,0,0,3,13.64,9,0,0,4,61,55,4,0,6,9.84,1,2,0,3,34,62,52.27,38,4,10.53,34,89.47,17,10,58.82,7,41.18,8,14.55,343.2,37.1,138.53,5.03,-0.12,1.07,8.2,-0.1,2.17,1.82,-1.82,4.07,58,-1.3,2.12,4.8,-1.2,2.49,5.6,-0.5,1.52,8.76,-0.5,2.05
2021-09-22,3,577,359,20,5.57,4,100,0,0,0,0,4,20,7,0,0,2,62,57,7,1,5,8.06,1,1,1,2,35,61,52.82,42,6,14.29,36,85.71,15,9,60,6,40,6,10.53,334.8,57.6,135.39,5.05,0.12,1.08,7.4,0.5,1.52,0,0,0,57.4,-0.9,1.82,4.4,0.5,1.67,5,0.1,0.71,8.02,0.26,1.18
2021-09-23,4,588,325,16,4.92,6,100,0,0,0,0,6,37.5,3,0,0,4,65,60,8,1,5,7.69,1,1,0,3,37,62,51.1,43,6,13.95,37,86.05,17,10,58.82,7,41.18,5,8.33,361.4,12.8,111.23,5.2,-0.17,0.97,6.8,-0.8,2.49,0,0,0,57.4,0.4,1.82,5,1.4,2.35,5,0.1,0.71,8.02,0.1,1.18
2021-09-24,5,571,429,21,4.9,4,80,1,20,0,0,5,23.81,5,0,0,2,67,58,7,1,9,13.43,2,0,1,6,36,62,50.97,39,6,15.38,33,84.62,19,8,42.11,11,57.89,6,10.34,407.6,-22.7,64.58,4.86,0.19,0.59,6.6,-1.4,2.61,0,0,0,57.4,0.7,1.82,5.8,1.2,2.17,5.8,0.9,1.92,9.12,1.16,2.68
2021-09-25,6,560,178,10,5.62,4,100,0,0,0,0,4,40,3,0,0,1,64,60,6,1,4,6.25,0,0,2,2,34,57,48.88,42,8,19.05,34,80.95,18,8,44.44,10,55.56,7,11.67,346.2,-45.4,105.55,5.2,0.06,0.36,5.4,-1.4,2.61,0,0,0,58,1.1,2.12,6.4,0.4,1.52,5.8,0,1.92,9.05,-0.18,2.76
2021-09-26,0,567,215,7,3.26,2,100,0,0,0,0,2,28.57,1,0,0,0,63,58,3,0,5,7.94,2,1,0,2,34,59,51.33,43,8,18.6,35,81.4,15,8,53.33,7,46.67,7,12.07,301.2,-43.5,103.5,4.85,-0.39,0.96,3.8,-1.2,2.28,0,0,0,58.6,0.2,1.34,6.2,-1,1.92,5.6,-0.1,1.95,8.67,-0.17,2.76
2021-09-27,1,585,460,20,4.35,4,66.67,2,33.33,0,0,6,30,5,0,0,1,62,57,4,0,5,8.06,0,0,1,4,35,61,49.98,44,8,18.18,36,81.82,13,9,69.23,4,30.77,8,14.04,321.4,5.6,125.19,4.61,-0.28,0.88,3.4,0,1.67,0,0,0,58.6,-0.6,1.34,5.6,-1.2,2.07,5.6,-0.4,1.95,8.67,-0.48,2.76
2021-09-28,2,598,409,19,4.65,4,66.67,2,33.33,0,0,6,31.58,12,0,0,0,63,61,6,1,2,3.17,0,0,0,2,39,64,48.3,45,8,17.78,37,82.22,16,9,56.25,7,43.75,8,13.11,338.2,24.2,131.28,4.56,-0.18,0.86,5.2,1.6,4.15,0,0,0,58.8,0.3,1.64,5.2,-0.4,1.64,5,-1.3,2.55,7.77,-1.87,3.73
2021-09-29,3,599,405,24,5.93,5,83.33,1,16.67,0,0,6,25,5,1,20,0,70,64,10,1,6,8.57,0,1,1,4,42,66,50.2,48,10,20.83,38,79.17,16,7,43.75,9,56.25,8,12.5,333.4,64.8,127.51,4.76,0.2,1.07,5.2,1.5,4.15,4,4,8.94,60,1.1,2.74,5.8,1.1,2.68,4.4,0.1,1.52,6.8,-0.01,2.21
2021-09-30,4,582,279,17,6.09,2,50,2,50,0,0,4,23.53,4,0,0,2,71,67,7,1,4,5.63,0,2,0,2,46,69,50.6,54,9,16.67,45,83.33,13,8,61.54,5,38.46,7,10.45,353.6,7.3,102.23,4.86,0.72,1.18,5.4,0.6,4.04,4,2,8.94,61.4,2.5,4.16,6,1.4,2.74,4.4,-0.1,1.52,6.67,-0.41,2.26
2021-10-01,5,563,370,13,3.51,1,25,3,75,0,0,4,30.77,5,0,0,6,71,66,4,0,5,7.04,1,0,0,4,45,68,51.48,53,5,9.43,48,90.57,13,9,69.23,4,30.77,8,12.12,384.6,-31,67.2,4.91,-0.02,1.09,6.2,-0.8,3.27,4,0,8.94,63,2.4,4.06,6.2,0.1,2.49,4.4,0.2,1.52,6.49,0.04,2.17
2021-10-02,6,567,209,9,4.31,3,75,1,25,0,0,4,44.44,3,0,0,2,70,61,4,0,9,12.86,0,6,0,3,41,67,54.41,50,4,8,46,92,11,9,81.82,2,18.18,7,11.48,334.4,-43.5,87.48,4.9,-0.31,1.1,5.8,-1.8,3.56,4,-2,8.94,63.8,0.2,2.78,6.2,-1,2.49,5.2,1.3,2.59,7.45,1.79,3.62
2021-10-03,0,582,197,5,2.54,1,100,0,0,0,0,1,20,2,0,0,4,64,62,3,0,2,3.13,0,0,0,2,40,65,54.95,49,5,10.2,44,89.8,13,9,69.23,4,30.77,9,14.52,292,-48.6,93.46,4.48,-0.86,1.54,3.8,-0.7,1.3,4,-4,8.94,64,-1,2.55,5.6,-1.7,2.88,5.2,-0.3,2.59,7.45,-0.37,3.63
2021-10-04,1,595,454,21,4.63,3,50,2,33.33,1,16.67,6,28.57,3,0,0,3,68,60,6,1,8,11.76,1,2,0,5,39,65,55.5,46,5,10.87,41,89.13,14,12,85.71,2,14.29,8,13.33,301.8,17.7,109.47,4.22,-0.39,1.32,3.4,-0.5,1.14,0,0,0,63.2,-1.8,3.11,4.8,-0.3,1.64,5.6,0.5,2.88,8.08,0.84,4.12
2021-10-05,2,607,422,16,3.79,1,33.33,2,66.67,0,0,3,18.75,3,0,0,4,62,56,2,0,6,9.68,1,0,1,4,38,68,55.7,43,4,9.3,39,90.7,13,12,92.31,1,7.69,8,14.29,330.4,34.9,120.18,3.76,0.09,0.81,3.2,-0.4,1.1,0,0,0,61,-2.1,3.61,3.8,-0.2,1.48,6,0.1,2.74,8.89,0.42,3.91
2021-10-06,3,594,384,13,3.39,1,100,0,0,0,0,1,7.69,9,0,0,0,59,51,3,0,8,13.56,1,2,1,4,36,71,55.31,36,3,8.33,33,91.67,15,12,80,3,20,6,11.76,333.2,57.5,121.49,3.73,-0.06,0.82,4,1.3,2.83,0,0,0,58,-2.6,4.53,3.6,-0.3,1.52,6.6,0.2,2.79,10.2,0.8,4.22
2021-10-07,4,592,276,11,3.99,1,50,1,50,0,0,2,18.18,7,0,0,0,52,48,1,0,4,7.69,0,1,1,2,35,73,55.52,33,2,6.06,31,93.94,15,10,66.67,5,33.33,6,12.5,346.6,8.8,107.22,3.67,0.17,0.77,4.8,1.6,3.03,0,0,0,55.4,-3.7,5.9,3,-0.7,1.87,5.6,0.4,2.61,9.16,1.09,4.03
2021-10-08,5,567,371,21,5.66,3,100,0,0,0,0,3,14.29,0,0,0,5,51,47,3,0,4,7.84,0,1,1,2,33,70,55.43,31,2,6.45,29,93.55,16,11,68.75,5,31.25,6,12.77,381.4,-31.2,67.35,4.29,0.23,0.89,4.4,-0.2,3.58,0,0,0,52.4,-3.4,5.51,3,-0.7,1.87,6,-1,2,10.11,-0.98,2.54
2021-10-09,6,576,196,8,4.08,2,66.67,1,33.33,0,0,3,37.5,0,0,0,1,50,46,3,0,4,8,0,1,0,3,33,72,54.76,33,3,9.09,30,90.91,13,11,84.62,2,15.38,5,10.87,329.8,-46.5,92.1,4.18,0.29,0.87,3.8,-1.5,4.09,0,0,0,49.6,-2.4,4.04,2.4,0.2,0.89,5.2,-0.8,1.79,9.35,-0.91,2.49
2021-10-10,0,573,211,11,5.21,3,100,0,0,0,0,3,27.27,11,1,9.09,4,51,48,5,0,3,5.88,0,1,0,2,33,69,54.77,33,1,3.03,32,96.97,15,11,73.33,4,26.67,5,10.42,287.6,-42.6,87.52,4.47,0.37,0.94,5.4,-0.3,5.13,1.82,1.82,4.07,48,-0.8,1.87,3,0.6,1.41,4.6,-1,1.95,8.59,-1.51,2.91
2021-10-11,1,583,443,12,2.71,1,100,0,0,0,0,1,8.33,13,0,0,4,49,44,1,0,5,10.2,0,1,1,3,31,70,53.5,29,1,3.45,28,96.55,15,11,73.33,4,26.67,5,11.36,299.4,17.4,105.83,4.33,-0.3,1.16,6.2,2.3,6.06,1.82,0.91,4.07,46.6,-0.7,1.67,2.6,0.2,1.67,4,0.1,0.71,7.92,0.31,1.54
2021-10-12,2,568,395,9,2.28,0,0,0,0,0,0,0,0,6,0,0,2,45,42,1,0,3,6.67,0,0,2,1,30,71,53.12,27,0,0,27,100,15,10,66.67,5,33.33,5,11.9,323.2,29.5,112.43,3.99,-0.81,1.49,6,2.5,6.04,1.82,0,4.07,45.4,-1.2,2.41,2.6,-0.6,1.67,3.8,-0.1,0.84,7.72,-0.01,1.64
2021-10-13,3,557,349,14,4.01,2,66.67,1,33.33,0,0,3,21.43,19,0,0,2,47,43,5,0,4,8.51,0,0,1,3,31,72,51.56,29,0,0,29,100,14,9,64.29,5,35.71,4,9.3,318.8,49,110.5,3.66,-0.31,1.17,9.8,3.3,7.19,1.82,-0.91,4.07,44.6,-1.2,2.41,3,0,2,3.8,0,0.84,7.85,0.18,1.68
2021-10-14,4,562,270,11,4.07,2,100,0,0,0,0,2,18.18,2,0,0,2,46,45,3,0,1,2.17,1,0,0,0,32,71,50.56,32,1,3.13,31,96.88,13,10,76.92,3,23.08,4,8.89,333.6,2.4,93.61,3.66,-0.1,1.17,10.2,-1.2,6.54,1.82,-1.82,4.07,44.4,-0.7,2.3,3,0,2,3.2,-0.5,1.48,6.69,-0.91,3.03
2021-10-15,5,576,343,17,4.96,0,0,1,100,0,0,1,5.88,5,0,0,3,46,43,1,0,3,6.52,0,1,1,1,31,72,51.95,30,2,6.67,28,93.33,13,10,76.92,3,23.08,5,11.63,360,-32.5,64.47,3.61,0.63,1.09,9,-2,6.89,0,0,0,43.4,0.1,1.14,2.2,0.2,1.79,3.2,-0.6,1.48,6.81,-1.19,3
2021-10-16,6,589,177,8,4.52,4,100,0,0,0,0,4,50,9,0,0,1,47,45,4,0,2,4.26,0,0,0,2,30,67,54.22,34,3,8.82,31,91.18,11,9,81.82,2,18.18,5,11.11,306.8,-44.2,85.25,3.97,0.54,1.02,8.2,-0.8,6.54,0,0,0,43.6,0.6,1.34,2.8,0.2,1.79,2.6,-0.3,1.14,5.63,-0.68,2.45
2021-10-17,0,589,178,8,4.49,4,80,1,20,0,0,5,62.5,10,0,0,0,50,48,5,0,2,4,1,0,0,1,30,63,54.23,36,3,8.33,33,91.67,12,9,75,3,25,6,12.5,263.4,-43.5,84.36,4.41,0.14,0.39,9,-1.1,6.44,0,0,0,44.8,1,2.05,3.6,0.1,1.67,2.4,-0.3,1.14,5.09,-0.69,2.46
2021-10-18,1,603,391,8,2.05,0,0,0,0,0,0,0,0,10,0,0,0,48,45,0,0,3,6.25,0,0,0,3,30,67,54.24,31,2,6.45,29,93.55,14,9,64.29,5,35.71,6,13.33,271.8,7.7,96.26,4.02,-0.45,1.14,7.2,2.1,3.56,0,0,0,45.2,0.5,1.79,2.6,-0.2,2.07,2.2,0.3,0.84,4.64,0.56,1.79
2021-10-19,2,618,385,24,6.23,2,66.67,1,33.33,0,0,3,12.5,8,1,12.5,0,48,44,3,0,4,8.33,1,0,1,2,27,61,54.48,31,4,12.9,27,87.1,13,9,69.23,4,30.77,5,11.36,294.8,29.8,108.67,4.45,0.01,1.52,8.4,0.7,2.07,2.5,2.5,5.59,45,0.2,1.87,2.6,0,2.07,2.8,0.3,0.84,5.87,0.56,1.78
2021-10-20,3,614,327,18,5.5,0,0,1,50,1,50,2,11.11,10,0,0,1,44,41,0,0,3,6.82,0,2,0,1,25,61,54.46,30,3,10,27,90,11,6,54.55,5,45.45,4,9.76,291.6,50.7,107.12,4.56,0.37,1.58,9.4,0,0.89,2.5,1.25,5.59,44.6,-1.2,2.51,2.4,-1,2.3,2.8,0.4,0.84,5.93,0.95,1.81
2021-10-21,4,602,309,20,6.47,4,100,0,0,0,0,4,20,8,0,0,1,46,44,5,0,2,4.35,1,0,0,1,29,66,54.84,33,2,6.06,31,93.94,11,6,54.55,5,45.45,5,11.36,318,19.8,85.99,4.95,0.74,1.79,9.2,-0.4,1.1,2.5,0,5.59,44.4,-1.2,2.51,2.6,0,2.51,2.8,0,0.84,5.95,0.13,1.79
2021-10-22,5,576,356,24,6.74,4,80,0,0,1,20,5,20.83,2,0,0,0,49,45,5,0,4,8.16,0,1,0,3,29,64,51.18,33,3,9.09,30,90.91,12,6,50,6,50,5,11.11,353.6,-14.6,35.66,5.4,0.96,1.93,7.6,-1.6,3.29,2.5,-1.25,5.59,43.8,0,1.64,2.6,1.2,2.51,3.2,0,0.84,6.78,-0.02,1.62
2021-10-23,6,584,198,12,6.06,4,80,1,20,0,0,5,41.67,8,0,0,4,52,50,7,1,2,3.85,0,0,1,1,34,68,49.66,39,5,12.82,34,87.18,11,7,63.64,4,36.36,4,8,315,-34.5,71.5,6.2,0.09,0.47,7.2,-0.8,3.03,2.5,-2.5,5.59,44.8,1.6,3.27,4,1.3,2.65,3,-0.3,1,6.3,-0.76,2.1
